instance_name,rub_2,opt_2,nodes_2,time_2,rub_4,opt_4,nodes_4,time_4,rub_6,opt_6,nodes_6,time_6
p3.4.j,200.00,200.00,1,0.19,240.00,240.00,1,0.30,260.00,260.00,1,0.42
p3.4.k,235.00,230.00,13,0.65,280.00,280.00,1,0.41,310.00,300.00,13,2.81
p3.4.l,265.00,260.00,5,0.50,300.00,300.00,1,0.35,320.00,320.00,1,0.77
p3.4.m,300.00,300.00,1,0.27,356.67,350.00,13,4.87,380.00,380.00,1,3.03
p3.4.n,320.00,320.00,1,0.65,396.67,390.00,23,15.33,416.67,410.00,15,61.58
p3.4.o,355.00,350.00,3,0.82,436.25,430.00,5,5.38,470.00,470.00,1,10.68
p3.4.p,390.00,390.00,1,0.40,496.67,490.00,13,33.15,520.00,520.00,1,5.24
p3.4.q,440.00,440.00,1,0.56,525.00,520.00,11,45.24,555.00,550.00,7,104.67
p3.4.r,460.00,460.00,1,0.73,548.57,530.00,67,353.35,570.00,560.00,11,358.29
p3.4.s,493.00,490.00,5,3.55,572.58,570.00,5,59.53,600.00,600.00,1,184.63
p3.4.t,522.50,510.00,19,7.70,630.00,630.00,1,18.33,667.50,660.00,35,1261.02
