instance_name,rub_2,opt_2,nodes_2,time_2,rub_4,opt_4,nodes_4,time_4,rub_6,opt_6,nodes_6,time_6
p5.3.m,495.00,495.00,1,1.09,525.00,525.00,1,8.66,575.00,575.00,1,303.91
p5.3.n,555.00,555.00,1,1.67,660.00,660.00,1,21.72,680.00,680.00,1,102.80
p5.3.o,600.00,600.00,1,2.77,765.00,765.00,1,30.39,780.00,780.00,1,157.61
p5.3.p,685.00,680.00,31,21.27,825.00,825.00,1,41.60,870.00,870.00,1,257.03
p5.3.q,730.00,730.00,1,16.31,870.00,870.00,1,62.26,975.00,975.00,1,333.92
p5.3.r,825.00,825.00,1,4.90,975.00,960.00,49,1738.52,1020.00,1010.00,29,3600.00
p5.3.s,930.00,930.00,1,7.17,1030.00,1020.00,33,1366.82,1100.00,1085.00,21,3600.00
p5.3.t,975.00,975.00,1,8.01,1095.00,1090.00,3,3600.00,--,1155.00,1,3600.00
p5.3.u,1060.00,1060.00,1,11.17,1170.00,1165.00,17,3600.00,1225.00,1210.00,3,3600.00
p5.3.v,1160.00,1145.00,33,201.33,1247.50,1240.00,11,3600.00,--,1305.00,1,3600.00
p5.3.w,1220.00,1215.00,75,805.49,1315.00,1305.00,7,3600.00,1357.50,1350.00,3,3600.00
p5.4.f,0.00,0.00,1,0.14,20.00,20.00,1,0.16,20.00,20.00,1,0.15
p5.4.g,0.00,0.00,1,0.14,80.00,80.00,1,0.17,110.00,110.00,1,0.20
p5.4.h,90.00,90.00,1,0.17,130.00,130.00,1,0.19,140.00,140.00,1,0.25
p5.4.i,120.00,120.00,1,0.18,140.00,140.00,1,0.25,190.00,190.00,1,0.39
p5.4.j,120.00,120.00,1,0.20,200.00,200.00,1,0.37,240.00,240.00,1,0.82
p5.4.k,240.00,240.00,1,0.23,320.00,320.00,1,0.57,340.00,340.00,1,1.63
p5.4.l,320.00,320.00,1,0.29,340.00,340.00,1,0.71,380.00,380.00,1,2.83
p5.4.m,320.00,320.00,1,0.35,380.00,380.00,1,1.54,420.00,420.00,1,7.72
p5.4.n,450.00,450.00,1,0.47,570.00,570.00,1,2.68,590.00,590.00,1,15.73
p5.4.o,600.00,600.00,1,0.96,620.00,620.00,1,5.64,660.00,660.00,1,71.75
p5.4.p,600.00,600.00,1,1.22,660.00,660.00,1,8.68,680.00,680.00,1,67.64
p5.4.q,660.00,660.00,1,2.28,700.00,700.00,1,13.33,720.00,720.00,1,2421.51
p5.4.r,680.00,680.00,1,1.41,740.00,740.00,1,16.09,800.00,800.00,1,646.34
p5.4.s,740.00,740.00,1,11.00,900.00,900.00,1,28.50,900.00,900.00,1,185.51
p5.4.t,800.00,800.00,1,33.44,1020.00,1020.00,1,39.10,1040.00,1040.00,1,248.08
p5.4.u,860.00,860.00,1,5.35,1040.00,1040.00,1,58.41,1083.33,1080.00,15,3600.00
p5.4.v,960.00,960.00,1,5.68,1160.00,1160.00,1,66.42,1180.00,1180.00,1,767.58
p5.4.w,1020.00,1020.00,1,12.40,1190.00,1190.00,1,277.51,1320.00,1320.00,1,682.37
p5.4.x,1100.00,1100.00,1,7.18,1260.00,1240.00,5,3600.00,1326.67,1320.00,3,3600.00
p5.4.y,1160.00,1160.00,1,7.62,1320.00,1320.00,1,387.25,1391.67,1380.00,3,3600.00
p5.4.z,1245.00,1240.00,19,115.84,1373.33,1370.00,3,3600.00,1455.00,1440.00,3,3600.00
